Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
7887.000000,0.000000,0.000000,0.000000,-0.029000,-0.001000,-0.361000,-0.003000,0.000000
7888.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,-0.361000,-0.003000,0.000000
7889.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,-0.361000,-0.003000,0.000000
7890.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,-0.361000,-0.008000,0.000000
7892.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,-0.361000,-0.008000,0.000000
7893.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,-0.361000,-0.008000,0.000000
7894.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,-0.361000,-0.008000,0.000000
7895.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,-0.361000,-0.008000,0.000000
7897.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,-0.361000,-0.008000,0.000000
7898.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,0.263000,-0.008000,0.000000
7899.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.263000,-0.008000,0.000000
7900.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.263000,-0.008000,0.000000
7902.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.263000,-0.008000,0.000000
7903.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.263000,0.003000,0.000000
7904.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.263000,0.003000,0.000000
7905.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.263000,0.003000,0.000000
7906.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.263000,0.003000,0.000000
7908.000000,0.000000,0.000000,0.000000,0.001000,-0.002000,0.263000,0.003000,0.000000
7909.000000,0.000000,0.000000,0.000000,0.001000,-0.002000,0.263000,0.003000,0.000000
7910.000000,0.000000,0.000000,0.000000,-0.025000,-0.002000,-0.058000,0.003000,0.000000
7911.000000,0.000000,0.000000,0.000000,-0.025000,-0.002000,-0.058000,0.003000,0.000000
7913.000000,0.000000,0.000000,0.000000,-0.025000,-0.002000,-0.058000,0.003000,0.000000
7914.000000,0.000000,0.000000,0.000000,-0.025000,-0.002000,-0.058000,0.003000,0.000000
7915.000000,0.000000,0.000000,0.000000,-0.025000,-0.002000,-0.058000,0.000000,0.000000
7916.000000,0.000000,0.000000,0.000000,-0.025000,-0.002000,-0.058000,0.000000,0.000000
7918.000000,0.000000,0.000000,0.000000,-0.025000,-0.002000,-0.058000,0.000000,0.000000
7919.000000,0.000000,0.000000,0.000000,-0.025000,0.000000,-0.058000,0.000000,0.000000
7920.000000,0.000000,0.000000,0.000000,-0.025000,0.000000,-0.058000,0.000000,0.000000
7921.000000,0.000000,0.000000,0.000000,0.030000,0.000000,-0.187000,0.000000,0.000000
7922.000000,0.000000,0.000000,0.000000,0.030000,0.000000,-0.187000,0.000000,0.000000
7924.000000,0.000000,0.000000,0.000000,0.030000,0.000000,-0.187000,0.000000,0.000000
7925.000000,0.000000,0.000000,0.000000,0.030000,0.000000,-0.187000,0.000000,0.000000
